#Frame            VAC
   1.000     207.2126
   1.020      -8.5174
   1.040     -21.5933
   1.060     -31.2020
   1.080     -25.7260
   1.100     -12.8391
   1.120      -3.9806
   1.140      -0.4256
   1.160       0.6226
   1.180       1.2673
   1.200       1.5479
   1.220       1.3398
   1.240       0.6012
   1.260      -0.1627
   1.280      -0.2961
   1.300       0.1255
   1.320       0.4718
   1.340       0.4399
   1.360       0.3290
   1.380       0.2406
   1.400       0.3554
   1.420       0.3773
   1.440       0.2911
   1.460       0.1427
   1.480      -0.0969
   1.500      -0.0038
   1.520       0.0656
   1.540      -0.2035
   1.560      -0.1395
   1.580      -0.0037
   1.600       0.0354
   1.620      -0.0569
   1.640       0.0201
   1.660      -0.0245
   1.680      -0.1270
   1.700      -0.1779
   1.720      -0.1564
   1.740      -0.0139
   1.760       0.1229
   1.780       0.0102
   1.800      -0.0923
   1.820       0.1743
   1.840       0.0819
   1.860      -0.1431
   1.880      -0.1110
   1.900      -0.0647
   1.920       0.1861
   1.940      -0.0363
   1.960       0.0304
   1.980       0.0322
   2.000       0.1335
   2.020       0.1782
   2.040      -0.0380
   2.060      -0.2419
   2.080      -0.2223
   2.100       0.1248
   2.120       0.1330
   2.140       0.0508
   2.160      -0.3795
   2.180      -0.2280
   2.200       0.0390
   2.220       0.0912
   2.240       0.0351
   2.260      -0.3199
   2.280      -0.1247
   2.300       0.0695
   2.320       0.2466
   2.340       0.2745
   2.360       0.0270
   2.380      -0.0896
   2.400       0.1300
   2.420       0.1556
   2.440       0.0912
   2.460       0.0405
   2.480      -0.1338
   2.500      -0.1633
   2.520      -0.0760
   2.540      -0.1625
   2.560       0.0556
   2.580       0.0438
   2.600      -0.0461
   2.620       0.0171
   2.640      -0.0340
   2.660      -0.0939
   2.680      -0.4956
   2.700      -0.0786
   2.720       0.0988
   2.740       0.2633
   2.760       0.1045
   2.780       0.4136
   2.800      -0.0464
   2.820      -0.0585
   2.840      -0.0573
   2.860      -0.3616
   2.880      -0.4464
   2.900       0.1566
   2.920       0.1293
   2.940       0.1554
   2.960      -0.2161
   2.980      -0.1793
   3.000      -0.1761
   3.020      -0.1312
   3.040      -0.2262
   3.060      -0.1821
   3.080       0.0367
   3.100       0.3307
   3.120       0.0641
   3.140       0.3785
   3.160       0.1344
   3.180      -0.0116
   3.200      -0.1361
   3.220      -0.1058
   3.240      -0.1080
   3.260       0.0291
   3.280      -0.0420
   3.300      -0.0643
   3.320       0.0957
   3.340       0.0829
   3.360      -0.2676
   3.380      -0.2001
   3.400      -0.0267
   3.420       0.0465
   3.440       0.2849
   3.460       0.0430
   3.480      -0.0947
   3.500      -0.1031
   3.520      -0.0787
   3.540      -0.2400
   3.560      -0.0035
   3.580       0.1996
   3.600       0.3822
   3.620       0.3861
   3.640      -0.0998
   3.660      -0.0504
   3.680      -0.0300
   3.700      -0.3240
   3.720      -0.0532
   3.740      -0.0878
   3.760       0.2318
   3.780       0.0440
   3.800       0.0787
   3.820      -0.1751
   3.840      -0.0570
   3.860      -0.1029
   3.880       0.0183
   3.900       0.0591
   3.920       0.1291
   3.940       0.0063
   3.960      -0.0003
   3.980      -0.0192
   4.000      -0.1163
   4.020       0.1249
   4.040      -0.0940
   4.060       0.0393
   4.080       0.0138
   4.100      -0.0603
   4.120      -0.0727
   4.140       0.0598
   4.160      -0.0478
   4.180       0.0942
   4.200       0.2221
   4.220       0.2526
   4.240       0.0048
   4.260      -0.3124
   4.280      -0.2530
   4.300      -0.1092
   4.320       0.1833
   4.340      -0.0094
   4.360      -0.0255
   4.380      -0.0954
   4.400       0.1184
   4.420      -0.1147
   4.440      -0.0312
   4.460      -0.2488
   4.480      -0.0268
   4.500      -0.0985
   4.520       0.0501
   4.540       0.0441
   4.560       0.0982
   4.580       0.1859
   4.600       0.1335
   4.620      -0.0032
   4.640      -0.0815
   4.660       0.0825
   4.680       0.0893
   4.700      -0.0018
   4.720      -0.0212
   4.740      -0.1140
   4.760       0.1219
   4.780      -0.0257
   4.800       0.0470
   4.820      -0.0597
   4.840       0.0877
   4.860      -0.0915
   4.880      -0.1098
   4.900      -0.3991
   4.920      -0.3322
   4.940       0.0579
