#Freq.            VAC
   0.000       0.1049
   0.025       0.1071
   0.050       0.1069
   0.075       0.1080
   0.100       0.1078
   0.125       0.1041
   0.150       0.1139
   0.175       0.1130
   0.200       0.1044
   0.225       0.1108
   0.250       0.1096
   0.275       0.1151
   0.300       0.1077
   0.325       0.1104
   0.350       0.1097
   0.375       0.1128
   0.400       0.1145
   0.425       0.1168
   0.450       0.1085
   0.475       0.1083
   0.500       0.1126
   0.525       0.1118
   0.550       0.1112
   0.575       0.1101
   0.600       0.1113
   0.625       0.1113
   0.650       0.1108
   0.675       0.1114
   0.700       0.1169
   0.725       0.1123
   0.750       0.1165
   0.775       0.1174
   0.800       0.1143
   0.825       0.1163
   0.850       0.1148
   0.875       0.1156
   0.900       0.1168
   0.925       0.1167
   0.950       0.1143
   0.975       0.1158
   1.001       0.1172
   1.026       0.1192
   1.051       0.1173
   1.076       0.1189
   1.101       0.1198
   1.126       0.1198
   1.151       0.1202
   1.176       0.1235
   1.201       0.1211
   1.226       0.1222
   1.251       0.1232
   1.276       0.1245
   1.301       0.1239
   1.326       0.1260
   1.351       0.1278
   1.376       0.1277
   1.401       0.1258
   1.426       0.1319
   1.451       0.1269
   1.476       0.1326
   1.501       0.1315
   1.526       0.1313
   1.551       0.1335
   1.576       0.1333
   1.601       0.1352
   1.626       0.1353
   1.651       0.1384
   1.676       0.1409
   1.701       0.1412
   1.726       0.1403
   1.751       0.1401
   1.776       0.1406
   1.801       0.1448
   1.826       0.1384
   1.851       0.1477
   1.876       0.1503
   1.901       0.1524
   1.926       0.1555
   1.951       0.1462
   1.976       0.1524
   2.001       0.1568
   2.026       0.1488
   2.051       0.1489
   2.076       0.1539
   2.101       0.1593
   2.126       0.1591
   2.151       0.1639
   2.176       0.1654
   2.201       0.1712
   2.226       0.1577
   2.251       0.1548
   2.276       0.1610
   2.301       0.1629
   2.326       0.1651
   2.351       0.1568
   2.376       0.1608
   2.401       0.1665
   2.426       0.1664
   2.451       0.1726
   2.476       0.1643
   2.501       0.1711
   2.526       0.1641
   2.551       0.1710
   2.576       0.1688
   2.601       0.1771
   2.626       0.1861
   2.651       0.1885
   2.676       0.1724
   2.701       0.1881
   2.726       0.1889
   2.751       0.1839
   2.776       0.1927
   2.801       0.1944
   2.826       0.1929
   2.851       0.1793
   2.876       0.1934
   2.901       0.1884
   2.926       0.1961
   2.951       0.1754
   2.976       0.1956
   3.002       0.1951
   3.027       0.1889
   3.052       0.1995
   3.077       0.1980
   3.102       0.1874
   3.127       0.1976
   3.152       0.1956
   3.177       0.2042
   3.202       0.2108
   3.227       0.2031
   3.252       0.2055
   3.277       0.2141
   3.302       0.2026
   3.327       0.2038
   3.352       0.2131
   3.377       0.2024
   3.402       0.1946
   3.427       0.2027
   3.452       0.2204
   3.477       0.2078
   3.502       0.2049
   3.527       0.2133
   3.552       0.2130
   3.577       0.2078
   3.602       0.2182
   3.627       0.2181
   3.652       0.2068
   3.677       0.2198
